iter	Passed	Remaining
0	169	169731
1	183	91329
2	192	64001
3	200	49888
4	210	41958
5	218	36143
6	228	32471
7	237	29421
8	244	26901
9	252	25003
10	260	23433
11	267	22047
12	275	20916
13	281	19845
14	289	19037
15	296	18219
16	304	17629
17	311	17013
18	320	16543
19	327	16023
20	335	15658
21	344	15326
22	352	14976
23	359	14635
24	368	14370
25	374	14024
26	382	13789
27	389	13526
28	396	13291
29	404	13064
30	411	12855
31	419	12679
32	424	12444
33	431	12272
34	439	12117
35	446	11949
36	453	11795
37	459	11630
38	466	11503
39	474	11383
40	482	11296
41	490	11187
42	499	11108
43	506	11011
44	516	10967
45	525	10891
46	532	10802
47	540	10718
48	546	10603
49	552	10504
50	560	10436
51	568	10356
52	575	10289
53	582	10195
54	590	10138
55	597	10070
56	606	10035
57	613	9965
58	621	9909
59	629	9856
60	637	9816
61	645	9770
62	656	9760
63	663	9697
64	671	9660
65	677	9589
66	685	9541
67	691	9478
68	699	9440
69	707	9398
70	729	9550
71	740	9543
72	746	9477
73	757	9478
74	767	9469
75	774	9416
76	779	9346
77	790	9342
78	799	9316
79	806	9271
80	814	9238
81	821	9201
82	830	9180
83	839	9157
84	849	9141
85	856	9099
86	863	9061
87	871	9029
88	877	8981
89	884	8938
90	891	8903
91	900	8882
92	909	8870
93	918	8848
94	927	8836
95	934	8802
96	941	8768
97	950	8744
98	960	8740
99	968	8712
100	977	8699
101	986	8685
102	996	8677
103	1007	8684
104	1016	8661
105	1027	8664
106	1035	8644
107	1044	8628
108	1052	8604
109	1061	8586
110	1071	8580
111	1080	8562
112	1088	8543
113	1097	8528
114	1106	8517
115	1115	8499
116	1125	8495
117	1138	8511
118	1147	8496
119	1158	8496
120	1167	8483
121	1174	8454
122	1184	8446
123	1192	8421
124	1201	8407
125	1208	8381
126	1217	8369
127	1225	8348
128	1232	8325
129	1240	8299
130	1249	8290
131	1257	8269
132	1267	8259
133	1273	8233
134	1281	8209
135	1287	8181
136	1294	8155
137	1300	8121
138	1306	8092
139	1313	8068
140	1321	8053
141	1328	8028
